Team,Nationality,Position,Age,Potential,Name 
Hobro IK ,Tunisia,Delantero Centro|Medio derecho|Medio izquierdo,26,Bueno,Imed Louati
Coventry City ,England,Medio derecho|Medio izquierdo,22,Bueno,Jodi Jones
Fortuna Sittard ,France,Medio centro ofensivo,24,Bueno,Djibril Dianessy
Patriotas Boyacá FC ,Colombia,Defensa central|Medio centro ofensivo,32,Bueno,Óscar Balanta
Lillestrøm SK ,Denmark,Defensa central,25,Bueno,Tobias Salquist
Scunthorpe United ,Netherlands,Delantero Centro,29,Bueno,Kevin van Veen
Deportivo Cali ,Colombia,Defensa central,25,Bueno,Eduar Caicedo
Patriotas Boyacá FC ,Colombia,Lateral izquierdo|Defensa central,25,Bueno,Martin Payares
FC Admira Wacker Mödling ,Austria,Medio centro ofensivo|Medio centro|Medio centro ofensivo,26,Bueno,Roman Kerschbaum
Sporting Kansas City ,United States,Lateral izquierdo,27,Bueno,Amadou Dia
CD Palestino ,Argentina,Portero,27,Bueno,Federico Lanzillotta
Sangju Sangmu FC ,Korea Republic,Medio centro,27,Bueno,Kim Min Hyeok
Montpellier Hérault SC ,France,Medio derecho|Medio centro ofensivo,21,Bueno,Bilal Boutobba
Houston Dynamo ,United States,Medio derecho|Medio izquierdo|Extremo izquierdo,24,Bueno,Memo Rodriguez
GIF Sundsvall ,Jordan,Carrilero derecho|Medio derecho|Extremo izquierdo,25,Bueno,Jonathan Tamimi
Mansfield Town ,Republic of Ireland,Defensa central,23,Bueno,Ryan Sweeney
Colorado Rapids ,New Zealand,Lateral izquierdo|Defensa central,25,Bueno,Deklan Wynne
Dundalk ,Nigeria,Medio izquierdo,24,Bueno,Nathan Oduwa
Shamrock Rovers ,Northern Ireland,Medio centro ofensivo|Medio centro,25,Bueno,Aaron McEneff
SD Ponferradina ,Argentina,Portero,26,Bueno,Gianfranco Gazzaniga
Cádiz CF ,Spain,Portero,26,Bueno,David Gil
Doncaster Rovers ,England,Medio centro ofensivo,22,Bueno,Ben Sheaf
Blackpool ,England,Lateral izquierdo|Carrilero izquierdo|Extremo izquierdo,22,Bueno,Marc Bola
Hebei China Fortune FC ,China PR,Defensa central,27,Bueno,Jin Yangyang
Delfín Sporting Club ,Ecuador,Defensa central,25,Bueno,Luis Cangá
SV Meppen ,Germany,Delantero Centro|Medio derecho,24,Bueno,Julius Düker
MSV Duisburg ,Germany,Lateral derecho|Defensa central,23,Bueno,Lukas Boeder
Milton Keynes Dons ,Wales,Lateral derecho|Defensa central,22,Bueno,Regan Poole
Lech Poznan ,Russia,Delantero Centro,23,Bueno,Timur Zhamaletdinov
Bradford City ,England,Portero,24,Bueno,Luke McGee
Strømsgodset IF ,Denmark,Medio centro|Medio centro ofensivo,24,Bueno,Mikkel Maigaard
La Spezia ,Italy,Medio centro ofensivo|Medio centro,26,Bueno,Gennaro Acampora
CD Lugo ,Spain,Delantero Centro,25,Bueno,Carlos Castro
Málaga CF ,Spain,Delantero Centro,24,Bueno,Buenacasa
FC Carl Zeiss Jena ,Germany,Delantero Centro|Media punta,25,Bueno,Julian Günther-Schmidt
Bristol City ,England,Lateral derecho|Defensa central|Medio centro ofensivo,23,Bueno,Zak Vyner
U Craiova 1948 Club Sportiv ,Brazil,Medio centro ofensivo|Extremo izquierdo,28,Bueno,Gustavo
Stade de Reims ,France,Medio derecho|Medio izquierdo,24,Bueno,Grégory Berthier
Shanghai SIPG FC ,China PR,Carrilero derecho|Lateral derecho|Extremo izquierdo,27,Bueno,Fu Huan
Wuhan Zall Professional FC ,China PR,Portero,29,Bueno,Dong Chunyu
Godoy Cruz ,Argentina,Medio izquierdo|Medio centro,26,Bueno,Gabriel Alanís
Patriotas Boyacá FC ,Colombia,Medio centro ofensivo|Medio centro,23,Bueno,Maicol Medina
CD Universidad de Concepción ,Uruguay,Portero,34,Bueno,Guillermo Reyes
SC Preußen Münster ,Germany,Delantero Centro|Medio izquierdo|Extremo izquierdo,24,Bueno,Lucas Cueto
CD Lugo ,Cameroon,Lateral derecho|Lateral izquierdo,26,Bueno,Serge Leuko
FC Admira Wacker Mödling ,Austria,Defensa central,25,Bueno,Fabio Strauss
KFC Uerdingen 05 ,Germany,Medio izquierdo|Medio centro|Medio centro ofensivo,23,Bueno,Patrick Pflücke
SpVgg Unterhaching ,Germany,Portero,23,Bueno,Steve Kroll
Deportes Iquique ,Chile,Medio derecho|Medio centro,30,Bueno,Sebastián Zúñiga
C.D. Universidad Católica del Ecuador ,Argentina,Delantero Centro|Media punta,32,Bueno,Juan Manuel Tévez
Fotbal Club Voluntari ,Portugal,Lateral derecho,26,Bueno,Ricardinho
1. FC Kaiserslautern ,Germany,Defensa central|Medio centro ofensivo|Medio centro,24,Bueno,Janik Bachmann
Patronato ,Argentina,Lateral derecho|Defensa central,30,Bueno,Gabriel Díaz
Rochdale ,Wales,Defensa central|Medio centro ofensivo|Medio centro,24,Bueno,Jordan Williams
BK Häcken ,Sweden,Delantero Centro,23,Bueno,Gustaf Nilsson
CD Everton de Viña del Mar ,Chile,Portero,34,Bueno,Luis Santelices
Fotbal Club Boto?ani ,Austria,Medio izquierdo|Medio centro ofensivo,28,Bueno,Mario Ebenhofer
FC Nantes ,Congo,Defensa central,26,Bueno,Anthony Walongwa
Rochdale ,Northern Ireland,Medio derecho|Medio izquierdo,28,Bueno,Stephen Dooley
SCR Altach ,Austria,Medio derecho|Medio izquierdo|Media punta,29,Bueno,Florian Jamnig
KAS Eupen ,Argentina,Delantero Centro,32,Bueno,Flavio Ciampichetti
Ross County FC ,Scotland,Medio derecho|Medio centro|Medio centro ofensivo,24,Bueno,Blair Spittal
Ettifaq FC ,Saudi Arabia,Delantero Centro|Medio izquierdo|Medio centro ofensivo,26,Bueno,Saleh Al Jaman
Sporting Charleroi ,North Macedonia,Defensa central,25,Bueno,Gjoko Zajkov
spusu SKN St. Pölten ,Austria,Medio centro ofensivo|Medio centro,28,Bueno,Daniel Luxbacher
Newport County ,England,Defensa central,30,Bueno,Mickey Demetriou
St. Mirren ,France,Medio centro ofensivo,32,Bueno,Tony Andreu
Clubul Sportiv Gaz Metan Media? ,France,Medio centro ofensivo|Medio centro,29,Bueno,Mickaël Diakota
Bristol Rovers ,England,Defensa central,28,Bueno,Tom Davies
Sangju Sangmu FC ,Korea Republic,Medio centro,28,Bueno,Han Seok Jong
Port Vale ,England,Defensa central,24,Bueno,Nathan Smith
Daegu FC ,Japan,Medio centro,30,Bueno,Tsubasa Nishi
Suwon Samsung Bluewings ,Korea Republic,Delantero Centro|Extremo izquierdo,26,Bueno,Han Eui Kwon
FK Haugesund ,Norway,Lateral izquierdo|Medio izquierdo,31,Bueno,Alexander Stølås
AIK ,Norway,Lateral derecho|Lateral izquierdo|Defensa central,26,Bueno,Daniel Granli
CD Lugo ,Spain,Lateral izquierdo|Defensa central,24,Bueno,José Carlos
Walsall ,Republic of Ireland,Medio centro,24,Bueno,Liam Kinsella
Beijing Sinobo Guoan FC ,China PR,Lateral izquierdo,30,Bueno,Jin Taiyan
Jiangsu Suning FC ,China PR,Lateral derecho|Lateral izquierdo|Defensa central,29,Bueno,Zhou Yun
Fotbal Club Viitorul Constan?a ,Romania,Portero,26,Bueno,Alexandru Buzbuchi
US Orléans Loiret Football ,France,Lateral izquierdo|Defensa central,24,Bueno,Gabriel Mutombo
Strømsgodset IF ,Norway,Delantero Centro,24,Bueno,Lars-Jørgen Salvesen
Kalmar FF ,Kosovo,Defensa central,26,Bueno,Fidan Aliti
Chongqing Dangdai Lifan FC SWM Team ,China PR,Lateral derecho|Medio centro ofensivo|Medio centro,31,Bueno,Jiang Zhe
FC Thun ,Switzerland,Defensa central,25,Bueno,Nicola Sutter
Zaglebie Lubin ,Hungary,Medio centro,22,Bueno,Mátyás Tajti
Tianjin Tianhai FC ,China PR,Lateral izquierdo|Carrilero izquierdo|Extremo izquierdo,27,Bueno,Mi Haolun
Shandong Luneng TaiShan FC ,China PR,Lateral derecho,27,Bueno,Wang Tong
AFC Chindia Târgovi?te ,Sweden,Delantero Centro|Medio derecho,24,Bueno,Valmir Berisha
Al Shabab ,Saudi Arabia,Lateral derecho|Lateral izquierdo,27,Bueno,Abdullah Al Shamekh
Fleetwood Town ,England,Medio centro,24,Bueno,Kyle Dempsey
Houston Dynamo ,United States,Medio izquierdo|Medio centro|Extremo izquierdo,29,Bueno,Tommy McNamara
Godoy Cruz ,Peru,Medio centro ofensivo|Medio centro,25,Bueno,Wilder Cartagena
Al Shabab ,Saudi Arabia,Defensa central,26,Bueno,Ahmed Sharahili
Alianza Petrolera ,Colombia,Defensa central,25,Bueno,Víctor Moreno
Chievo Verona ,Senegal,Medio centro ofensivo|Medio centro,24,Bueno,Maodo Malick Mbaye
SD Huesca ,Spain,Lateral derecho|Defensa central,24,Bueno,Antonio Marín
HJK Helsinki ,Finland,Defensa central,25,Bueno,Daniel O'Shaughnessy
RC Celta ,Spain,Medio centro ofensivo|Medio centro ofensivo,24,Bueno,Dani Molina
Al Faisaly ,Saudi Arabia,Delantero Centro,27,Bueno,Mohammed Al Saiari
Carlisle United ,England,Extremo izquierdo|Extremo izquierdo,25,Bueno,Nathan Thomas
Deportes Iquique ,Chile,Defensa central,29,Bueno,Matías Blázquez
Independiente Medellín ,Colombia,Portero,28,Bueno,Andrés Mosquera
Falkenbergs FF ,Sweden,Defensa central,31,Bueno,Tobias Karlsson
FK Bodø/Glimt ,Norway,Lateral derecho|Medio centro,24,Bueno,Morten Ågnes Konradsen
Club Atlético Tigre ,Argentina,Lateral derecho|Medio derecho,26,Bueno,Matías Pérez Acuña
ADO Den Haag ,Wales,Medio centro ofensivo|Extremo izquierdo,23,Bueno,George Thomas
Kilmarnock ,Scotland,Medio izquierdo|Medio centro ofensivo,23,Bueno,Greg Kiltie
FK Bodø/Glimt ,Norway,Defensa central,25,Bueno,Vegard Bergan
IK Sirius ,Sweden,Medio derecho|Extremo izquierdo,25,Bueno,Stefano Vecchia
FC Sochaux-Montbéliard ,France,Medio centro ofensivo|Medio centro,25,Bueno,Younès Kaabouni
Club Deportivo Oriente Petrolero ,Bolivia,Portero,28,Bueno,Romel Quiñonez
Chiavari ,Ukraine,Portero,24,Bueno,Nikita Contini
Pordenone ,Italy,Medio centro ofensivo|Medio centro,24,Bueno,Davide Mazzocco
CD Universidad de Concepción ,Panama,Delantero Centro|Medio izquierdo,29,Bueno,Cecilio Waterman
Villarreal CF ,Morocco,Defensa central,26,Bueno,Sofian Chakla
Bolton Wanderers ,England,Defensa central,23,Bueno,Kean Bryan
SC Heerenveen ,Norway,Delantero Centro,24,Bueno,Runar Espejord
LKS Lódz ,Spain,Medio izquierdo|Extremo izquierdo,27,Bueno,Antonio Domínguez
Chiavari ,Italy,Medio centro|Medio centro ofensivo,34,Bueno,Luca Nizzetto
Accrington Stanley ,Northern Ireland,Delantero Centro,24,Bueno,Dion Charles
Cosenza ,Italy,Portero,26,Bueno,Umberto Saracco
Venezia ,Italy,Lateral izquierdo|Defensa central,24,Bueno,Pietro Ceccaroni
Bristol Rovers ,England,Lateral izquierdo|Carrilero izquierdo|Medio izquierdo|Extremo izquierdo,24,Bueno,Tareiq Holmes-Dennis
Cittadella ,Italy,Defensa central,26,Bueno,Agostino Camigliano
Helsingborgs IF ,Nigeria,Delantero Centro,26,Bueno,Alhaji Gero
Cádiz CF ,Morocco,Delantero Centro|Medio derecho|Medio centro ofensivo,25,Bueno,Hicham Khaloua
Huachipato FC ,Chile,Medio centro,23,Bueno,Joaquin Verdugo
Crawley Town ,England,Delantero Centro,28,Bueno,Ollie Palmer
FC Ingolstadt 04 ,Germany,Lateral derecho,28,Bueno,Michael Heinloth
Club Alianza Lima ,Peru,Carrilero izquierdo|Medio izquierdo|Extremo izquierdo,27,Bueno,Alexi Gómez
Club Always Ready ,Argentina,Medio derecho|Medio izquierdo|Medio centro ofensivo,29,Bueno,Javier Sanguinetti
La Equidad ,Colombia,Defensa central|Medio centro,27,Bueno,Alex Rambal
Impact Montréal ,Cuba,Lateral izquierdo|Carrilero izquierdo|Medio izquierdo|Extremo izquierdo,29,Bueno,Jorge Corrales
Fotbal Club Politehnica Ia?i ,Cape Verde,Medio derecho|Medio izquierdo|Medio centro ofensivo,34,Bueno,Platini
Plymouth Argyle ,England,Medio centro,25,Bueno,Conor Grant
Salford City ,Australia,Defensa central,24,Bueno,Cameron Burgess
Henan Jianye FC ,China PR,Defensa central|Medio centro ofensivo|Medio centro,27,Bueno,Wang Shangyuan
New York City FC ,United States,Medio centro ofensivo|Medio centro|Medio centro ofensivo,23,Bueno,Gedion Zelalem
VVV-Venlo ,England,Delantero Centro|Extremo izquierdo|Extremo izquierdo,23,Bueno,Jerome Sinclair
TSV 1860 München ,Germany,Portero,26,Bueno,Hendrik Bonmann
Macclesfield Town ,England,Portero,25,Bueno,Jonathan Mitchell
Forest Green Rovers ,Wales,Carrilero derecho|Lateral derecho|Extremo izquierdo,25,Bueno,Liam Shephard
Patriotas Boyacá FC ,Colombia,Delantero Centro,25,Bueno,Oswal Álvarez
FC Würzburger Kickers ,Germany,Delantero Centro,28,Bueno,Saliou Sané
TSV Hartberg ,Austria,Medio centro ofensivo|Medio centro,28,Bueno,Peter Tschernegg
Aalborg BK ,Denmark,Lateral derecho,30,Bueno,Kristoffer Pallesen
Club Atlético Huracán ,Argentina,Delantero Centro,28,Bueno,Fernando Coniglio
CD Universidad de Concepción ,Paraguay,Defensa central|Medio centro,33,Bueno,Francisco Portillo
Chiavari ,Italy,Delantero Centro,35,Bueno,Matteo Mancosu
Fußballclub Viktoria Köln 1904 e.V. ,Germany,Lateral izquierdo|Defensa central|Medio izquierdo,25,Bueno,Fabian Holthaus
Liverpool Fútbol Club ,Argentina,Portero,26,Bueno,Andrés Mehring
Estudiantes de La Plata ,Argentina,Lateral derecho|Lateral izquierdo|Medio izquierdo,28,Bueno,Mauricio Rosales
KV Oostende ,Belgium,Medio centro ofensivo|Medio centro|Medio centro ofensivo,25,Bueno,François Marquet
Al Faisaly ,Saudi Arabia,Lateral izquierdo,25,Bueno,Mohammed Qasem
CD Cobresal ,Chile,Medio centro|Medio centro ofensivo,27,Bueno,Franco Ragusa
Unión La Calera ,Chile,Medio centro ofensivo|Medio derecho|Medio centro,30,Bueno,Jorge Romo
CD Cobresal ,Chile,Extremo izquierdo,28,Bueno,Fabián Saavedra
Doncaster Rovers ,Wales,Defensa central,25,Bueno,Joe Wright
Grimsby Town ,England,Medio centro ofensivo|Medio centro,26,Bueno,Jake Hessenthaler
Jaguares Fútbol Club ,Colombia,Portero,32,Bueno,José Escobar
Deportivo Pasto ,Colombia,Portero,39,Bueno,Luis Delgado
Portland Timbers ,Colombia,Delantero Centro|Medio derecho,28,Bueno,Dairon Asprilla
Audax Italiano ,Chile,Medio centro|Medio centro ofensivo,26,Bueno,Ariel Martínez
América de Cali ,Colombia,Medio centro ofensivo,31,Bueno,Luis Paz
Independiente Medellín ,Colombia,Lateral izquierdo,26,Bueno,Luis Mena
América de Cali ,Colombia,Lateral izquierdo|Medio izquierdo,28,Bueno,Jefferson Murillo
Alianza Petrolera ,Colombia,Lateral izquierdo,30,Bueno,César Hinestroza
AFC Wimbledon ,England,Delantero Centro|Medio derecho|Medio centro,25,Bueno,Mitch Pinnock
Newport County ,England,Lateral izquierdo|Carrilero izquierdo|Extremo izquierdo,24,Bueno,Ryan Haynes
FK Bodø/Glimt ,Denmark,Delantero Centro,26,Bueno,Kasper Junker
CD Antofagasta ,Chile,Defensa central|Medio centro ofensivo|Medio centro,34,Bueno,Cristián Rojas
Atlanta United ,United States,Portero,29,Bueno,Alec Kann
Motherwell ,England,Carrilero derecho|Lateral derecho|Medio centro|Extremo izquierdo,25,Bueno,Liam Grimshaw
Shrewsbury ,Scotland,Carrilero derecho|Lateral derecho|Extremo izquierdo,25,Bueno,Donald Love
Östersunds FK ,Sweden,Lateral derecho|Lateral izquierdo|Medio centro,24,Bueno,Isak Ssewankambo
Colchester United ,England,Medio centro ofensivo|Medio centro,24,Bueno,Tom Lapslie
Leyton Orient ,Chile,Portero,26,Bueno,Lawrence Vigouroux
Oxford United ,England,Lateral derecho|Medio centro ofensivo,24,Bueno,Jamie Hanson
Kristiansund BK ,Senegal,Lateral derecho|Defensa central,27,Bueno,Aliou Coly
New York City FC ,United States,Portero,29,Bueno,Brad Stuver
Fußballclub Viktoria Köln 1904 e.V. ,Germany,Portero,29,Bueno,Sebastian Patzler
Hamilton Academical FC ,England,Carrilero derecho|Lateral derecho|Extremo izquierdo,24,Bueno,Aaron McGowan
Rodez Aveyron Football ,Senegal,Delantero Centro,28,Bueno,Pape Sané
Al Ittihad ,Saudi Arabia,Delantero Centro|Medio derecho|Medio centro ofensivo,25,Bueno,Abdulrahman Al Ghamdi
FC Carl Zeiss Jena ,Kosovo,Medio centro ofensivo|Medio centro,25,Bueno,Eroll Zejnullahu
Milton Keynes Dons ,England,Medio centro|Medio centro ofensivo,24,Bueno,Hiram Boateng
Adelaide United ,Australia,Medio centro|Medio centro ofensivo,24,Bueno,Stefan Mauk
Sporting Kansas City ,United States,Delantero Centro,29,Bueno,Erik Hurtado
Gallos Blancos de Querétaro ,Mexico,Defensa central,25,Bueno,Víctor Milke
Western United FC ,Australia,Lateral derecho|Defensa central,24,Bueno,Aaron Calver
Fleetwood Town ,Wales,Medio derecho|Extremo izquierdo,25,Bueno,Wes Burns
Lyngby BK ,Denmark,Lateral derecho|Defensa central,26,Bueno,Pascal Gregor
Hallescher FC ,Germany,Defensa central|Medio centro ofensivo,25,Bueno,Anthony Syhre
Newport County ,Wales,Medio centro ofensivo|Medio centro|Medio centro ofensivo,25,Bueno,Josh Sheehan
FC Würzburger Kickers ,Germany,Defensa central,25,Bueno,Hendrik Hansen
Bradford City ,Republic of Ireland,Delantero Centro|Medio derecho|Medio izquierdo,25,Bueno,Dylan Connolly
Aarhus AGF ,Denmark,Lateral izquierdo,25,Bueno,Casper Højer Nielsen
Tromsø IL ,Norway,Delantero Centro|Medio derecho|Extremo izquierdo,24,Bueno,Mikael Norø Ingebrigtsen
CS Emelec ,Ecuador,Portero,31,Bueno,Adrián Bone
SpVgg Unterhaching ,Germany,Lateral derecho|Defensa central|Medio centro ofensivo,29,Bueno,Markus Schwabl
SC Preußen Münster ,Germany,Defensa central,27,Bueno,Simon Scherder
DSC Arminia Bielefeld ,Germany,Delantero Centro|Extremo izquierdo,26,Bueno,Nils Quaschner
Seongnam FC ,Croatia,Defensa central,31,Bueno,Igor Jovanovic
TSV 1860 München ,Germany,Defensa central|Medio centro ofensivo,28,Bueno,Aaron Berzel
Sivasspor ,Germany,Medio derecho,26,Bueno,Erdogan Yesilyurt
Hibernian ,Scotland,Carrilero derecho|Lateral derecho|Extremo izquierdo,29,Bueno,Paul McGinn
Chievo Verona ,Italy,Defensa central,29,Bueno,Michele Rigione
Motherwell ,Scotland,Medio centro ofensivo|Medio derecho|Medio centro,24,Bueno,Mark O'Hara
Walsall ,Northern Ireland,Delantero Centro,27,Bueno,Caolan Lavery
Al Hilal ,Saudi Arabia,Lateral derecho|Medio centro ofensivo,25,Bueno,Madallah Al Olayan
Ross County FC ,Scotland,Lateral derecho|Lateral izquierdo|Defensa central,26,Bueno,Marcus Fraser
AC Horsens ,Denmark,Delantero Centro,27,Bueno,Nicolai Brock-Madsen
Al Raed ,Saudi Arabia,Lateral derecho|Defensa central,26,Bueno,Abdullah Al Fahad
Al Fateh ,Saudi Arabia,Medio derecho,29,Bueno,Ali Ahmed Al Zaqan
Al Faisaly ,Saudi Arabia,Lateral derecho|Defensa central,33,Bueno,Aqeel Al Sahabi
Al Taawoun ,Saudi Arabia,Medio centro ofensivo|Medio centro|Medio centro ofensivo,30,Bueno,Mohammed Abusabaan
Sampdoria ,Italy,Portero,25,Bueno,Wladimiro Falcone
Al Taawoun ,Saudi Arabia,Lateral derecho|Medio centro ofensivo|Medio derecho,29,Bueno,Faisal Darwish
Grenoble Foot 38 ,France,Medio centro ofensivo|Medio centro,24,Bueno,Anthony Belmonte
Rochdale ,Northern Ireland,Lateral derecho|Medio derecho,25,Bueno,Ryan McLaughlin
TSV Hartberg ,Austria,Medio derecho|Medio izquierdo,30,Bueno,Stefan Rakowitz
Le Mans FC ,New Caledonia,Medio derecho|Medio izquierdo,31,Bueno,Georges Gope-Fenepej
FC Twente ,Germany,Medio centro|Medio centro ofensivo,25,Bueno,Tim Hölscher
Sydney FC ,Australia,Medio derecho|Medio centro|Medio centro ofensivo,27,Bueno,Anthony Caceres
Luton Town ,England,Lateral izquierdo,24,Bueno,Brendan Galloway
Sportverein Waldhof Mannheim 07 e.V. ,France,Delantero Centro|Medio izquierdo,29,Bueno,Mounir Bouziane
Ipswich Town ,St Lucia,Lateral derecho|Lateral izquierdo,26,Bueno,Janoi Donacien
Al Fateh ,Saudi Arabia,Defensa central|Medio centro ofensivo,30,Bueno,Mohammed Al Fehaid
Fotbal Club Dinamo Bucure?ti ,Slovakia,Lateral derecho,26,Bueno,Kristián Koštrna
Luton Town ,Montserrat,Lateral derecho|Defensa central,26,Bueno,Donervon Daniels
Morecambe ,Republic of Ireland,Medio derecho|Medio centro ofensivo,26,Bueno,John O'Sullivan
Lechia Gdansk ,Poland,Delantero Centro,27,Bueno,Lukasz Zwolinski
ADO Den Haag ,Curacao,Extremo izquierdo|Extremo izquierdo,28,Bueno,Elson Hooi
Gil Vicente FC ,Brazil,Portero,26,Bueno,Bruno
Wellington Phoenix ,New Zealand,Lateral derecho,26,Bueno,Tim Payne
FC Luzern ,Switzerland,Lateral derecho|Lateral izquierdo|Medio derecho,28,Bueno,Simon Grether
Peterborough United ,England,Lateral izquierdo|Carrilero izquierdo|Extremo izquierdo,25,Bueno,Dan Butler
Doncaster Rovers ,England,Lateral derecho|Medio derecho|Medio centro,31,Bueno,Matty Blair
Al Fateh ,Saudi Arabia,Lateral izquierdo,32,Bueno,Tawfiq Bu Haymid
Al Wehda ,Saudi Arabia,Defensa central,29,Bueno,Yasyn Hamza
SSV Jahn Regensburg ,Germany,Lateral derecho|Medio centro ofensivo,30,Bueno,Oliver Hein
Damac FC ,Saudi Arabia,Portero,33,Bueno,Khaled Sharahili
Carlisle United ,England,Defensa central,33,Bueno,Nathaniel Knight-Percival
Tranmere Rovers ,England,Medio derecho,26,Bueno,Kieron Morris
Mansfield Town ,England,Lateral izquierdo|Carrilero izquierdo|Extremo izquierdo,26,Bueno,Malvind Benning
Dundalk ,Scotland,Medio centro|Medio centro ofensivo,24,Bueno,Cammy Smith
Viking FK ,Norway,Lateral derecho|Medio centro,29,Bueno,Fredrik Torsteinbø
IF Elfsborg ,Norway,Portero,24,Bueno,Mathias Dyngeland
Minnesota United FC ,United States,Delantero Centro,30,Bueno,Aaron Schoenfeld
Club Deportivo El Nacional ,Ecuador,Delantero Centro|Extremo izquierdo,28,Bueno,Marlon de Jesús
Fotbal Club Dinamo Bucure?ti ,Romania,Medio centro ofensivo,31,Bueno,Ioan Filip
Paris FC ,Senegal,Delantero Centro|Medio derecho|Medio izquierdo,29,Bueno,Adama Sarr
IFK Norrköping ,Sweden,Medio centro ofensivo|Medio centro,28,Bueno,Andreas Blomqvist
Sangju Sangmu FC ,Korea Republic,Medio derecho|Medio centro|Medio centro ofensivo,27,Bueno,Moon Chang Jin
Tromsø IL ,Norway,Defensa central|Medio centro,25,Bueno,Kent-Are Antonsen
Konyaspor ,North Macedonia,Lateral izquierdo|Defensa central,27,Bueno,Leonard Zuta
Piast Gliwice ,Poland,Delantero Centro,30,Bueno,Patryk Tuszynski
Daegu FC ,Korea Republic,Medio izquierdo|Medio centro,29,Bueno,Hwang Soon Min
Exeter City ,England,Carrilero izquierdo|Medio izquierdo|Extremo izquierdo,27,Bueno,Brennan Dickenson
Desportivo das Aves ,Brazil,Portero,30,Bueno,Fábio
Livingston FC ,Angola,Delantero Centro|Medio derecho|Extremo izquierdo,27,Bueno,Dolly Menga
Exeter City ,Republic of Ireland,Lateral derecho|Defensa central,25,Bueno,Pierce Sweeney
AFC Wimbledon ,Republic of Ireland,Medio centro,26,Bueno,Callum Reilly
Tranmere Rovers ,England,Delantero Centro|Medio izquierdo|Medio centro ofensivo,29,Bueno,Connor Jennings
FBC Melgar ,Peru,Medio centro ofensivo|Medio centro,26,Bueno,Hernán Hinostroza
Burton Albion ,Australia,Medio derecho|Medio centro|Medio centro ofensivo,26,Bueno,Ryan Edwards
Columbus Crew SC ,United States,Portero,30,Bueno,Matt Lampson
Tromsø IL ,Norway,Medio izquierdo|Medio centro ofensivo|Media punta,27,Bueno,Daniel Berntsen
SK Brann ,Norway,Lateral derecho,28,Bueno,Jon-Helge Tveita
Gillingham ,England,Delantero Centro|Medio izquierdo,26,Bueno,Jordan Roberts
Portsmouth ,England,Carrilero derecho|Lateral derecho|Extremo izquierdo,25,Bueno,James Bolton
Bradford City ,Northern Ireland,Medio centro ofensivo,26,Bueno,Shay McCartan
FC Seoul ,Korea Republic,Defensa central|Medio centro ofensivo|Medio centro,28,Bueno,Kim Won Sik
Fotbal Club Academica Clinceni ,Brazil,Medio centro|Medio centro ofensivo,27,Bueno,Jean Deretti
Zaglebie Lubin ,Montenegro,Lateral izquierdo,30,Bueno,Saša Balic
Lincoln City ,England,Delantero Centro,26,Bueno,Tom Hopper
FC Thun ,Liechtenstein,Carrilero derecho|Lateral derecho|Medio centro|Extremo izquierdo,29,Bueno,Nicolas Hasler
Cardiff City ,England,Delantero Centro,26,Bueno,Isaac Vassell
Oxford United ,Republic of Ireland,Medio derecho|Medio izquierdo,26,Bueno,Anthony Forde
Livorno ,Czech Republic,Portero,26,Bueno,Lukáš Zima
Puebla ,Mexico,Medio centro,25,Bueno,Jonathan Espericueta
Chemnitzer FC ,Germany,Defensa central,28,Bueno,Clemens Schoppenhauer
Sepsi OSK Sfântu Gheorghe ,Algeria,Defensa central|Medio centro ofensivo,29,Bueno,Rachid Bouhenna
CS Emelec ,Uruguay,Medio centro ofensivo|Medio centro,27,Bueno,Sebastián Rodríguez
Tranmere Rovers ,England,Carrilero derecho|Lateral derecho|Extremo izquierdo,27,Bueno,Jake Caprice
Yokohama F·Marinos ,Japan,Delantero Centro|Medio izquierdo|Medio centro ofensivo,30,Bueno,Yuki Otsu
Grenoble Foot 38 ,Senegal,Portero,27,Bueno,Papa Demba Camara
KAS Eupen ,Netherlands,Defensa central,26,Bueno,Menno Koch
Gillingham ,France,Delantero Centro,25,Bueno,Mikael Mandron
FC Sochaux-Montbéliard ,Algeria,Portero,29,Bueno,Mehdi Jeannin
Asocia?ia Fotbal Club Hermannstadt ,Portugal,Medio centro ofensivo|Medio centro,28,Bueno,Afonso Taira
SSV Jahn Regensburg ,Germany,Delantero Centro|Medio derecho|Medio izquierdo,28,Bueno,Julian Derstroff
Wycombe Wanderers ,Portugal,Lateral derecho|Defensa central,32,Bueno,Sido Jombati
Peterborough United ,England,Defensa central,28,Bueno,Rhys Bennett
Sport Huancayo ,Peru,Lateral derecho|Medio derecho,34,Bueno,Giancarlo Carmona
Western Sydney Wanderers ,Australia,Defensa central,28,Bueno,Dylan McGowan
Hallescher FC ,Germany,Lateral izquierdo|Medio izquierdo,27,Bueno,Janek Sternberg
FC Emmen ,Netherlands,Medio centro ofensivo|Medio centro,28,Bueno,Hilal Ben Moussa
Sepsi OSK Sfântu Gheorghe ,Netherlands,Delantero Centro|Medio centro ofensivo|Extremo izquierdo,26,Bueno,Anass Achahbar
Leyton Orient ,Mali,Medio centro ofensivo|Medio centro,29,Bueno,Ousseynou Cissé
Asocia?ia Fotbal Club Hermannstadt ,France,Defensa central,29,Bueno,Kévin Rimane
spusu SKN St. Pölten ,Austria,Defensa central,30,Bueno,Daniel Drescher
Houston Dynamo ,United States,Portero,27,Bueno,Cody Cropper
