Genre,Original_Language,Release_Date,Vote_Average,Overview,Title
Comedy,es,2021-10-15,7.2,resolve; visit; business,The Good Boss
"Action, Science Fiction",en,1998-09-27,4.6,Universal; With; government,Universal Soldier II: Brothers in Arms
"Drama, Romance, Adventure",it,1975-11-27,4.5,sexual; had; rejected,Black Emanuelle
"Thriller, TV Movie",en,2019-10-18,5.9,deadly; 18yearold; ultimately,Sleeping With My Student
"Comedy, Drama, Romance",en,2016-11-17,7.1,Paterson; very; many,Paterson
Thriller,en,1997-10-03,6.6,people; small; trapped,U Turn
"Science Fiction, Comedy, Horror",en,1985-10-18,7.1,college; tissue; involved,Re-Animator
"Comedy, Romance",en,2001-03-30,5.1,Problem; pot; worth,Tomcats
"Adventure, Drama, Action, Romance",en,1984-03-30,6.3,discovers; house; ensuing,"Greystoke: The Legend of Tarzan, Lord of the Apes"
Thriller,en,2020-10-29,5.5,thriller; hide; Angeles,Last Moment of Clarity
"War, Drama, Romance",pl,2003-09-19,5.7,Nazi; writer; psychological,Pornography
"Animation, Adventure, Family",en,2003-12-02,6.3,worlds; grandparents; between,The Land Before Time X: The Great Longneck Migration
"Comedy, Crime, Romance",en,1988-08-19,5.9,undercover; Unfortunately; having,Married to the Mob
"Fantasy, Comedy, Drama",en,1998-09-17,7.3,David; keen; peaceful,Pleasantville
"Adventure, Drama, Action, Fantasy",en,2009-09-04,6.1,its; Vikings; Are,Valhalla Rising
"Comedy, TV Movie",en,2019-04-16,6.5,nearly; stopping; potpreneurs,How High 2
"Family, Animation",en,2017-04-04,7.2,ever; opening; station,Monster High: Electrified
"Comedy, Drama, Family",en,1982-06-18,6.5,parents; believes; orphan,Annie
Comedy,en,2009-09-25,5.0,charismatic; Kristy; strip,I Hope They Serve Beer in Hell
"Drama, Fantasy",en,1994-09-12,7.0,Pauline; literature; shared,Heavenly Creatures
Horror,en,2002-01-01,5.1,kill; robbery; within,Crocodile 2: Death Swamp
"Action, Comedy, Romance",fr,1973-11-23,7.1,English; neighbor; pulp,The Magnificent One
"Action, Drama, Thriller",ja,1973-12-01,7.6,killing; revenge; She,Lady Snowblood
Documentary,en,2002-04-20,3.5,SpiderMan; Documentary; making,Beyond the Ultimate Spin: The Making of 'Spider-Man'
"Comedy, Drama",fr,2010-10-20,7.1,little; event; annual,Little White Lies
"Drama, Thriller",en,2003-01-16,6.9,outside; trial; juror,Runaway Jury
Drama,pt,2003-03-21,7.5,Carandiru; History; Based,Carandiru
"Drama, Action",cn,1994-09-17,7.0,pay; bravery; clients,Ashes of Time
"Animation, Fantasy, Family",ru,2012-10-11,5.7,Snow; Gerda; Queen,The Snow Queen
"Western, Crime, Action, Adventure, Drama",en,1988-02-17,6.7,authority; hunted; too,Young Guns
"Action, Science Fiction",en,1997-04-04,5.1,rock; works; They,Double Team
"Action, Fantasy, Drama",cn,2022-02-12,2.0,ambushed; Zhang; dissension,New Kung Fu Cult Master 2
"Drama, Romance, Comedy",en,1998-12-25,7.1,mother; fullest; exhusband,Stepmom
"Action, Adventure, Crime",cn,1993-10-21,5.8,Jessica; stop; Yeoh,Supercop 2
"Drama, Horror, Thriller",en,2012-10-09,5.9,joins; trail; Set,Werewolf: The Beast Among Us
Drama,en,2008-07-03,6.3,happens; This; dealer,The Wackness
"Drama, Crime, Comedy",en,2019-09-27,6.0,vested; linked; fortunes,The Laundromat
"Adventure, Comedy, Family",en,2001-11-10,6.0,Sisters; Alex; smuggling,Holiday in the Sun
Thriller,en,1985-10-04,6.4,accused; despite; defending,Jagged Edge
Thriller,es,2019-11-08,5.3,local; mafia; politicians,The Silence of the Marsh
Drama,en,2021-05-28,6.8,confront; friend; teen,Growing Fangs
"Adventure, Action, Western",en,1969-03-18,6.6,secret; Indian; showing,Mackenna's Gold
"Action, Adventure, Mystery, Science Fiction, Thriller",en,2003-12-25,6.2,end; receives; why,Paycheck
Comedy,en,2011-09-02,5.9,orgy; endofsummer; high,A Good Old Fashioned Orgy
"Crime, History",en,1973-12-05,7.6,placed; Frank; shunned,Serpico
Comedy,fr,2017-02-15,6.5,cover; hates; Alibicom,Alibi.com
"Drama, Thriller",en,2012-08-23,6.4,Sandra; saying; call,Compliance
"Drama, History, Music",en,2019-09-27,6.8,shine; Judy; fifth,Judy
Horror,it,1963-08-17,7.1,Wurdalak”; “The; supernatural,Black Sabbath
"Comedy, Drama, Romance",en,2007-05-11,5.9,younger; This; movie,I Could Never Be Your Woman
"Drama, Thriller",fa,2016-06-24,7.3,Tehran; Forced; dramatically,The Salesman
"Music, Comedy",en,1984-05-04,7.5,downs; selfcontained; concert,This Is Spinal Tap
"Action, Adventure, Thriller",en,2012-10-25,5.1,imagined; revealed; arrival,Maximum Conviction
"Horror, Science Fiction, Thriller",en,2015-03-16,5.0,violent; turns; forces,The Diabolical
"Action, Fantasy",en,2007-02-06,4.1,Methos; Hopeless; companions,Highlander: The Source
Horror,en,1993-11-01,6.0,unwitting; Lovecrafts; involving,Necronomicon
"Horror, Mystery, Thriller",en,2008-04-25,5.6,upbringing; desire; put,From Within
Action,en,2017-03-11,5.6,champion; escapes; Together,The Archer
"Drama, Romance, Thriller",en,1993-06-18,5.3,ideas; tries; once,Boxing Helena
Action,en,2009-04-24,5.9,streetfighting; nothing; Shawn,Fighting
"Action, Thriller",en,1996-11-08,6.7,tactic; kidnapped; tries,Ransom
"Action, Adventure, Fantasy, Horror, Science Fiction, Thriller",en,2008-02-12,2.9,Doomsday; strangers; scientists,2012 Doomsday
"Science Fiction, Action, Drama",en,2009-10-27,6.8,human; Galactica; embedded,Battlestar Galactica: The Plan
"Family, Animation, Adventure, Comedy",fr,1986-12-03,6.7,barrel; invited; drink,Asterix in Britain
"Comedy, Drama",en,2017-12-05,6.0,popularity; Cole; became,F*&% the Prom
"Comedy, Drama",en,2016-05-06,6.7,despite; New; Jenkins,Florence Foster Jenkins
"Animation, Adventure, Family",ja,2009-03-07,6.4,She; Nobitas; hears,Doraemon: The New Record of Nobita's Spaceblazer
"Action, Adventure, Comedy",en,2016-05-27,5.7,manipulates; bank; friend,The Do-Over
"Science Fiction, Thriller, Horror",en,1990-09-14,5.9,proceeds; its; coincidences,Hardware
"Family, Comedy",en,2004-07-09,6.0,hunt; Desperate; under,Sleepover
"Comedy, Drama, Romance",en,2002-02-22,6.5,nonGreek; comes; identity,My Big Fat Greek Wedding
"Romance, Comedy",en,2019-11-06,6.5,marriage; finding; abruptly,Holiday in the Wild
"Thriller, Crime, Drama",ko,2013-02-21,7.4,An; hes; dies,New World
"Action, Crime, Fantasy, Adventure",zh,2013-09-27,6.3,sea; conspiracy; actionpacked,Young Detective Dee: Rise of the Sea Dragon
"Comedy, Adventure",en,1985-12-06,6.2,employees; think; US,Spies Like Us
"Drama, History",en,2019-04-05,7.4,Durham; raciallycharged; outspoken,The Best of Enemies
"Fantasy, Comedy",en,1991-05-10,5.9,named; relationship; devil,Switch
Documentary,en,2019-05-14,7.3,journalist; unforgettable; Islamic,Mosul
"Mystery, Thriller",en,1987-02-06,6.1,believes; goes; prove,Black Widow
"Comedy, Action",en,2007-08-03,6.3,sparring; matches; For,Hot Rod
"Horror, Comedy, Science Fiction",en,2021-11-19,5.0,infected; protect; parasite,Black Friday
"Drama, Romance, History",en,1999-12-16,6.7,King; teacher; King,Anna and the King
Drama,en,1980-09-19,7.5,Conrad; brother; Calvin,Ordinary People
Documentary,en,2014-03-25,6.0,ears; never; mystical,Enchanted Kingdom
"Adventure, Action, Family",en,2006-07-21,5.2,Darrius; thinks; every,Stormbreaker
"Thriller, TV Movie",en,2021-06-03,2.0,until; soon; away,The Perfect Wedding
"Action, Adventure, Thriller, Drama",en,2011-04-25,5.4,brothers; drops; murder,Blood Out
"Family, Animation",en,2020-08-14,6.7,Caribbean; Octonauts; small,Octonauts and the Caves of Sac Actun
"Drama, War",tr,2017-10-27,8.2,name; effortlessly; reuniting,Ayla: The Daughter of War
"Action, Comedy",ja,2018-09-14,7.0,around; high; talent,Hibiki
Documentary,en,2021-06-10,7.3,extraordinary; Olympic; Junior,Sisters on Track
"Adventure, Drama, Thriller",en,1990-03-16,6.4,trapped; 25; miles,Lord of the Flies
Thriller,es,2016-09-09,6.6,purely; romantic; cafe,The Fury of a Patient Man
"Adventure, Drama",fr,1981-12-16,7.1,Fire; rival; many,Quest for Fire
"Romance, Drama",en,2021-05-17,7.8,romance; during; kite,High Flying Romance
"Western, Action, Adventure",en,1966-11-01,7.1,millionaire; wife; kidnapped,The Professionals
"Adventure, Family, Fantasy",en,1961-12-19,6.4,US; War; escape,Mysterious Island
"Adventure, Action, Animation",ja,2019-12-06,7.4,thief; actionpacked; cabal,Lupin III: The First
"Family, Drama",en,2017-10-03,6.2,fashion; Cora; moved,Rip Tide
"Drama, Romance",en,1979-10-06,7.0,sent; epic; families,Tess
"Adventure, Comedy",cn,1993-07-10,4.8,cast; 1990s; three,Crazy Hong Kong
"Adventure, Fantasy",en,1999-04-01,4.3,arms; night; ruled,Beowulf
"Thriller, Action, Crime",en,1997-09-28,6.3,Ramirez; CIA; top,The Assignment
"Mystery, Drama, Thriller",en,1998-07-10,7.1,reality; believes; predict,Pi
"Animation, Fantasy",ja,2010-01-23,6.1,planning; just; stranger,Yu-Gi-Oh! 3D: Bonds Beyond Time
"Music, Comedy, Drama",en,1995-09-22,6.7,anything; each; try,Empire Records
"Crime, Drama, Mystery, Romance, Thriller",en,1964-07-17,7.2,blackmailed; Mark; liar,Marnie
Drama,en,2004-09-02,6.8,mother; headstrong; returns,A Love Song for Bobby Long
"Comedy, Crime",en,1972-03-12,6.3,humiliate; criminal; goes,Pink Flamingos
"Action, Crime, Thriller",en,2017-10-20,6.1,robbery; crossed; driver,Wheelman
Drama,en,2004-12-03,4.6,loss; porn; modern,This Girl's Life
"Crime, Thriller, Action, Drama",fr,2020-10-30,5.9,warring; loyal; protect,Rogue City
"Comedy, Horror",en,2015-10-09,6.4,loss; pulled; grieving,The Final Girls
"Mystery, Thriller",ko,2019-02-20,6.6,uncover; cult; cult,Svaha: The Sixth Finger
Thriller,en,2021-04-02,6.0,client; suicide; brother,Every Breath You Take
"Crime, Drama, Thriller, Mystery",en,1999-03-19,6.6,Death; San; innocent,True Crime
"Action, Crime",en,2011-01-01,6.1,through; system; slipped,Recoil
Horror,it,1979-08-25,6.6,looking; zombies; island,Zombie Flesh Eaters
"Comedy, Drama",en,2018-01-26,6.9,500page; Trek; tears,Please Stand By
"Fantasy, Horror, Thriller",en,2001-10-12,6.3,pursued; disappear; decrepit,Dagon
"Thriller, Horror",nl,2019-10-31,6.3,tailgate; cocksure; terrorized,Tailgate
"Family, Adventure, Drama",en,2008-09-17,7.4,Rosaleen; Lily; holds,The Secret Life of Bees
"Drama, Comedy, Romance",en,2006-09-13,6.4,tries; Challenge; sake,Starter for 10
"Action, Adventure",en,2016-11-18,6.7,barbarian; gaming; cruel,The Warriors Gate
"Drama, Thriller",en,2011-09-16,5.8,locals; Sumner; brewing,Straw Dogs
"Crime, Drama, Thriller",en,1966-02-18,7.1,Bubber; affects; Reeves,The Chase
"Adventure, Fantasy, Drama, Science Fiction, Romance",en,1992-12-16,6.4,cryogenics; coma; experiment,Forever Young
"Comedy, Drama",en,2018-12-20,6.8,Willowdean; fitting; pageant,Dumplin'
"Crime, Drama",en,1989-10-13,7.4,guest; husbands; restaurant,"The Cook, the Thief, His Wife & Her Lover"
Drama,en,2004-05-20,7.5,obsessed; teenage; liberating,Mysterious Skin
"Drama, Thriller, Crime, Romance",es,2011-01-01,6.7,fallen; pact; tipping,"Sex, Lies and Death"
"Action, Drama, Thriller, Crime, Mystery",en,1993-07-08,7.0,detail; Dallas; serving,In the Line of Fire
"Action, Animation, Fantasy",ja,1996-08-02,5.6,possible; mankind; so,X: The Movie
Horror,en,1989-01-01,6.1,big; mental; patients,Clownhouse
"Thriller, Crime, Science Fiction",en,1984-12-14,5.4,uncover; killer; police,Runaway
"Drama, War",en,1977-08-31,7.3,Gabriel; shifts; lieutenants,The Duellists
"Romance, Drama",en,1993-10-19,6.9,wife; America; South,The House of the Spirits
"Thriller, Drama",no,2019-12-25,6.2,truck; outside; Christmas,The Tunnel
"Action, Comedy, Science Fiction",en,2022-03-24,0.0,connecting; insane; could,Everything Everywhere All at Once
Action,en,2020-02-29,6.1,final; justice; team,I Am Vengeance: Retaliation
"Action, Comedy, Horror",en,2017-11-10,6.5,worst; through; causing,Mayhem
"Comedy, Romance, Drama",en,1988-12-20,6.6,or; leg; classy,Working Girl
Horror,en,2021-10-08,5.6,believe; supernatural; Judith,The Manor
"Action, Comedy, Animation",ja,2008-09-06,7.5,Simon; city; Kamina,Gurren Lagann the Movie: Childhood's End
"Horror, Thriller",en,2014-10-25,6.1,comes; police; since,Last Shift
"Horror, Thriller, Comedy",es,2017-02-15,6.3,decrepit; downtown; motley,The Bar
"Documentary, Horror, History",sv,1922-09-18,7.6,instead; darkly; Middle,Häxan
"Comedy, Romance",en,2003-04-16,7.2,relationships; charm; His,Chasing Papi
Documentary,en,2014-04-17,7.4,Scholey; Alaskan; bears,Bears
"Drama, Family, TV Movie, Comedy",en,2012-01-13,5.9,three; BFFs; happens,Frenemies
"Comedy, Western, Adventure",en,1986-12-12,6.4,village; thing; replay,¡Three Amigos!
"Adventure, Comedy, Family, Fantasy, TV Movie",en,2004-10-08,6.6,She; Witches; Halloweentown,Halloweentown High
"Drama, Comedy, History",en,2019-11-27,7.5,Benedict; introspective; scandal,The Two Popes
"Horror, Comedy",en,2013-02-19,5.0,Forest”; —; taking,Hansel and Gretel Get Baked
"Animation, Drama, History",ja,2014-02-08,6.3,Ruri; Assaji; Kosara,Buddha 2: The Endless Journey
"Drama, Romance, Fantasy",en,2011-01-10,5.1,An; angel; gangster,Passion Play
"Comedy, Family, Science Fiction",en,1961-03-16,6.4,gains; strikes; every,The Absent-Minded Professor
"Action, Adventure, Comedy, Fantasy, Family",en,1988-12-07,7.0,supposed; misfits; fantastical,The Adventures of Baron Munchausen
"Comedy, Horror, Thriller",en,1989-02-17,6.7,suburbanite; newcomers; tube,The 'Burbs
"TV Movie, Animation, Comedy, Family",en,2005-08-19,5.9,captures; let; scientist,The Proud Family Movie
Horror,en,2011-10-18,4.7,yearned; us; Will,The Howling: Reborn
"Romance, Drama, TV Movie",en,2007-10-24,6.8,leads; penchant; sensational,Northanger Abbey
Thriller,tl,2021-11-12,4.7,witnesses; discovered; illicit,Mahjong Nights
Thriller,en,2017-03-13,6.3,were; death; set,M.F.A.
"Animation, Science Fiction, Thriller, Drama",ja,1999-11-17,7.4,key; suicide; traumatized,Jin-Roh: The Wolf Brigade
"History, Drama, Thriller, Crime",en,2018-10-04,7.2,attending; outside; Party,22 July
"Action, Thriller",ja,2003-07-05,4.9,original; three; people,Battle Royale II: Requiem
"Action, Crime",en,1991-04-12,6.1,detective; partner; everyone,Out for Justice
Science Fiction,es,2016-12-13,6.0,doesnt; resuscitated; accept,Realive
"Action, Thriller",en,2017-03-09,3.9,freedom; heist; if,Larceny
Documentary,en,1991-03-13,8.2,Xtravaganza; voguers; mothers,Paris Is Burning
"Animation, Action",en,2011-12-12,6.3,Croc; three; fus,Kung Fu Panda: Secrets of the Masters
"Romance, Drama",ko,2015-08-06,4.8,showed; day; allowed,Purpose of Reunion
Comedy,en,2009-09-03,5.8,clears; factory; Joel,Extract
"Drama, Romance",ja,2017-01-07,6.3,afraid; game; dining,Our Meal for Tomorrow
"Romance, Drama, History",en,2018-04-19,7.5,formed; WWII; book,The Guernsey Literary & Potato Peel Pie Society
"Documentary, Crime",en,2021-04-14,6.3,revenge; down; track,Why Did You Kill Me?
"Animation, Adventure, Comedy, Fantasy",ja,1998-01-01,6.7,action; battle; knights,Slayers Gorgeous
"Action, Comedy, Adventure",en,2003-08-15,6.2,idol; themselves; skaters,Grind
Comedy,en,1985-05-03,5.6,moment; bed; ever,Private Resort
"Drama, Romance",fr,1992-04-15,7.0,class; owner; steely,Indochine
"Comedy, Drama, Romance",en,2014-02-02,6.5,blooms; brothers; simple,Barefoot
"Fantasy, Adventure, Comedy, Family",en,1997-11-29,5.4,challenge; Herbie; losing,The Love Bug
"Action, Adventure, Comedy",en,1997-07-18,6.4,crook; Soon; learns,Nothing to Lose
"Romance, Drama",fr,2020-07-14,7.4,And; You; motorbike,Summer of 85
"Fantasy, Animation, Family, Comedy",en,1941-06-19,6.6,learns; rather; attempts,The Reluctant Dragon
"Crime, Drama, Action",en,2021-09-03,6.5,account; involved; reallife,Rise of the Footsoldier: Origins
"Thriller, Action",en,2013-12-04,5.3,ruthless; aside; outside,Enemies Closer
Comedy,en,1996-02-01,6.0,lifetime; dignified; sarcastic,Black Sheep
"Thriller, Adventure, Drama",en,2012-03-28,4.9,expert; thrillseeking; fears,Dark Tide
"Thriller, Mystery",en,2018-03-10,4.8,urban; artist’s; An,Don’t Leave Home
"Drama, Romance",ja,2002-09-05,7.6,marriage; characters; relates,Dolls
Action,ja,1980-11-11,6.8,ninjas; vengeance; search,Shogun Assassin
"Action, Crime, Drama, Thriller",en,2016-04-14,5.5,corrupt; justice; killer,I Am Wrath
"Thriller, Science Fiction",en,2014-03-15,6.0,Southwest; road; drawn,The Signal
"Drama, Romance",pt,2004-09-01,5.7,She; possible; heights,Vanity Fair
Comedy,en,1997-09-06,6.2,Lisa; movies; Day,Orgazmo
"Comedy, Romance",en,2011-02-02,6.4,complicated; overcome; through,Chalet Girl
"Crime, Drama, Thriller",en,2007-09-26,7.1,jewelry; brothers; hurtling,Before the Devil Knows You're Dead
"Romance, Comedy, Family",en,2006-02-21,5.7,or; stating; brought,The Prince & Me 2: The Royal Wedding
Drama,cs,2020-08-20,6.6,appreciates; cost; famous,Charlatan
"Drama, Romance",ko,2015-11-12,5.2,Internet; One; Jiyeon,Buddy's Mom
"Drama, History, Crime",en,2019-12-13,7.5,bombs; thousands; works,Richard Jewell
"Action, Drama",zh,2018-09-30,6.8,fool; victory; lead,Shadow
"Comedy, Science Fiction",fr,1969-09-10,6.8,body; 1905; 1960s,Hibernatus
Thriller,it,1979-02-20,4.9,worker; break; full,Pleasure Shop on the Avenue
"Adventure, Drama, Family",en,2004-04-07,7.1,separated; captivity; Two,Two Brothers
Comedy,en,1989-01-27,6.7,treatment; released; money,Three Fugitives
"Drama, History, Thriller",en,2019-09-09,6.1,organization; Cuba; Olga,Wasp Network
"Fantasy, Horror",en,2015-11-06,5.6,civilization; within; land,The Hallow
Action,en,2004-11-19,6.3,infant; reveals; swordsandsorcery,Ring of the Nibelungs
Drama,en,2007-05-18,5.7,1970s; scandal; famous,Savage Grace
"Drama, History, War",en,1993-10-08,6.9,what; leads; confront,Gettysburg
"Comedy, Drama, Family",ja,1999-06-05,7.5,companion; array; whimsical,Kikujiro
"Drama, Crime, Thriller",en,2006-09-15,5.6,pursue; madness; killer,The Black Dahlia
"Drama, Romance, War",en,2015-03-12,7.3,war; refined; residence,Suite Française
"Drama, Thriller, Crime, Mystery",en,2011-10-14,5.8,detective; bayous; City,Texas Killing Fields
"Science Fiction, Action, Fantasy",ja,1966-12-17,6.3,Ryota; brother; liberate,"Ebirah, Horror of the Deep"
"Thriller, Crime",en,2021-08-16,6.1,brought; elusive; charming,Ted Bundy: American Boogeyman
"Thriller, Drama",en,2019-03-29,5.5,victims; truly; herself,A Vigilante
"Comedy, Romance, TV Movie",ru,1977-10-26,8.1,Yuri; appointed; hit,Office Romance
Comedy,en,2011-12-09,5.6,call; sitter; well,The Sitter
"Horror, Comedy",en,2022-03-11,0.0,birthday; manor; laid,All My Friends Hate Me
"Action, Comedy, Crime",en,1987-06-23,5.9,behind; named; name,Dragnet
"Thriller, Drama, Horror",en,2019-07-18,6.2,didnt; start; next,1BR
"Action, Comedy",no,2014-08-13,6.7,wildest; there; remember,Burnout
"Family, Comedy",en,2016-10-07,6.9,imagination; friend; book,Middle School: The Worst Years of My Life
"Thriller, Action, Science Fiction",en,2000-11-10,5.6,awry; go; searching,Red Planet
"Thriller, Crime, Action, Drama, History",en,2017-12-01,5.6,mobsters; Capones; eyes,Gangster Land
"Romance, Comedy, Drama",en,2008-02-08,6.4,Tokyo; râmen; chef,The Ramen Girl
Comedy,en,2015-02-20,5.2,machine; Nick; fire,Hot Tub Time Machine 2
"Family, Drama",en,2014-09-11,7.0,people; passing; wake,Dolphin Tale 2
Documentary,en,2005-04-22,7.3,corrupt; led; business,Enron: The Smartest Guys in the Room
"Mystery, Action, Animation",ja,2012-04-14,6.9,An; Someone; receives,Detective Conan: The Eleventh Striker
"Drama, Romance",en,1997-06-12,4.7,married; Lea; named,Another 9 1/2 Weeks
"Romance, Fantasy, Horror",it,2015-05-14,6.3,flea; falls; King,Tale of Tales
"Comedy, Drama",en,2018-06-01,5.4,operates; theme; park,Action Point
Comedy,en,2014-11-07,5.2,estranged; attempt; sons,A Merry Friggin' Christmas
"Thriller, Science Fiction, Action",ru,2019-11-21,6.4,area; space; even,The Blackout
"Action, Science Fiction, Adventure",en,2008-02-01,4.0,forces; George; left,War of the Worlds 2: The Next Wave
"Thriller, Science Fiction, Action, Crime",en,1994-09-15,6.0,officer; travel; politician,Timecop
Comedy,fr,1976-10-27,7.2,show; son; confronted,The Wing or the Thigh?
"Drama, Romance",en,2017-03-14,4.2,girls; village; sexuality,Picture of Beauty
"Comedy, Drama, Romance",fr,2008-02-20,6.7,Abrams; any; trouble,Welcome to the Sticks
"Comedy, Drama",fr,2019-08-28,5.6,Sofia; doesn’t; forever,An Easy Girl
"Drama, Comedy",en,2017-08-17,6.0,romantic; runs; Paris,Madame
"Drama, Comedy",en,1999-10-01,6.2,hockey; promoters; unexpectedly,"Mystery, Alaska"
"Drama, War",en,1989-12-20,7.0,prohuman; Paralyzed; political,Born on the Fourth of July
"Comedy, Drama",en,1985-03-29,6.1,section; suburban; personals,Desperately Seeking Susan
"Romance, Drama, Action",ko,2004-01-15,7.2,corporal; between; its,Once Upon a Time in High School
"Fantasy, Adventure, Family, Animation",en,1982-12-17,7.2,order; past; Gelfling,The Dark Crystal
"Drama, Fantasy, Romance",ja,2004-10-30,7.6,Widower; On; Takumi,Be with You
Drama,en,1985-03-08,7.1,skull; attempts; under,Mask
"Animation, Action, Fantasy, Horror",ja,1987-04-19,6.7,protect; male; treaty,Wicked City
"Crime, Drama, Thriller",en,1983-03-25,7.0,measured; OBrien; wrong,Bad Boys
"Drama, Romance, Comedy",fr,1980-12-17,6.5,same; thirteenyearold; parents,The Party
"Drama, Romance, Crime",it,2013-01-01,7.9,keep; eccentric; auctioneer,The Best Offer
"Animation, Adventure, Comedy, Family",fr,2019-09-10,7.5,music; favorite; monkey,Curious George: Royal Monkey
"Action, Adventure, Comedy, Family, Fantasy, Science Fiction",en,2004-07-23,4.9,nemesis; top; Paxton,Thunderbirds
Drama,sv,1972-12-21,8.0,suicidal; psychic; Agnes,Cries and Whispers
"Romance, Family, TV Movie",en,2017-12-14,5.5,turns; upcoming; exclusive,Christmas Wedding Planner
"Drama, War",fr,1987-10-07,7.5,Based; At; boarding,Au Revoir les Enfants
"Fantasy, Comedy",en,2017-05-30,5.8,erotic; lively; finally,Cinderella's Hot Night
Action,en,2009-04-21,5.3,couple; theyre; married,Into the Blue 2: The Reef
"Drama, Romance",en,2007-10-04,6.6,boy; dismisses; wife,Love in the Time of Cholera
"Drama, Romance",fr,1986-04-09,7.3,novelist; madness; support,Betty Blue
Drama,en,2014-12-05,7.5,Alice; receives; bonds,Still Alice
"Animation, Action, Comedy, Family",en,2012-06-15,1.8,Brand; evil; supermarket,Foodfight!
Action,en,2015-10-05,5.1,Follows; very; journey,Blunt Force Trauma
"Drama, Crime",ja,1996-07-27,7.2,harassing; playing; Shinji,Kids Return
"Comedy, Romance",en,1985-04-26,6.4,change; making; writing,Just One of the Guys
"Crime, Documentary",en,2016-03-11,6.4,its; Boogeyman; modern,Beware the Slenderman
"Drama, Horror",cn,1992-09-10,0.0,around; Wai; Women,Sex and Curse
"Romance, Comedy",en,1998-02-13,6.8,waitress; singer; star,The Wedding Singer
"Comedy, Family, Animation, Adventure",ru,2017-10-28,6.6,maintain; threatens; things,The Fixies: Top Secret
"Crime, Comedy",en,1988-12-14,7.2,$50000; settle; betting,Dirty Rotten Scoundrels
Comedy,en,2011-08-19,6.1,complete; boozefilled; graduation,The Inbetweeners Movie
"Comedy, Action",cn,1992-07-02,6.5,kungfu; wife; lawyer,"Justice, My Foot!"
"Drama, Thriller, Romance",en,2017-09-22,5.4,France; brief; inability,Submergence
"Drama, Crime, Romance",en,1999-08-06,6.7,met; successful; very,The Thomas Crown Affair
Drama,en,1989-12-13,7.3,Hoke; Daisy; grew,Driving Miss Daisy
Comedy,en,1985-03-22,5.5,1955; since; once,Porky's 3: Revenge
"Action, Comedy",cn,1985-08-15,6.7,Stars; through; series,"Twinkle, Twinkle, Lucky Stars"
"Animation, Action, Thriller, Crime",hu,2018-06-22,7.5,four; museums; Psychotherapist,"Ruben Brandt, Collector"
"Mystery, Western, Thriller",pt,2019-08-29,7.8,matriarch; its; its,Bacurau
"Comedy, Romance",en,1955-06-03,7.1,soon; Richard; Sherman,The Seven Year Itch
"Horror, Mystery, Science Fiction, Thriller",en,2022-07-20,0.0,discovery; inland; uncanny,Nope
"Horror, Mystery, Thriller, Comedy",en,2021-12-03,5.9,harbors; apartment; secret,The Scary of Sixty-First
"History, Action, Romance, Drama",en,1975-06-06,6.7,Maxwell; slave; Blanche,Mandingo
"Action, Adventure, Comedy, Drama",en,1952-08-27,6.9,fights; goings; sailing,The Crimson Pirate
"Adventure, Comedy, Romance",en,1978-08-01,6.5,twentyfirst; across; gets,Fairy Tales
"Drama, Romance",en,2001-06-07,6.8,ideas; Ironically; Hank,Monster's Ball
"Mystery, Thriller, Horror",en,2018-10-01,5.8,she’s; exact; camgirl,Cam
"Drama, Comedy, Romance",it,1963-12-21,7.6,tales; different; very,"Yesterday, Today and Tomorrow"
Horror,en,2001-10-09,4.1,condemned; possessed; dark,Children of the Corn: Revelation
"Action, Crime, Mystery",ko,2017-05-17,7.2,ambitious; release; While,The Merciless
"Crime, Drama, Thriller",en,1938-11-26,7.7,Jerry; return; New,Angels with Dirty Faces
"Thriller, Action, Comedy",en,2021-03-12,6.4,hunt; recruiting; Cicada,Dark Web: Cicada 3301
"Animation, Family, Fantasy, Music, Horror, Comedy",en,2000-08-29,6.9,Will; fulllength; discover,Alvin and the Chipmunks Meet the Wolfman
"Comedy, Horror",en,2006-04-27,5.9,fun; swamp; stranded,Hatchet
"Animation, Science Fiction",ja,2002-02-10,5.3,political; Soreil; decisive,Turn A Gundam II: Moonlight Butterfly
Drama,es,1970-03-29,7.3,manual; Benito; Spanish,Tristana
"Science Fiction, Action, Drama, Thriller",en,1996-08-02,5.6,forced; run; researchers,Chain Reaction
"Thriller, Crime, Mystery",en,1990-07-26,6.8,Rusty; hidden; hes,Presumed Innocent
"Action, Comedy, Thriller, Drama",it,1975-06-26,6.2,trafficking; Rizzo; accused,Flatfoot in Hong Kong
Drama,fr,1993-09-08,7.7,Her; auto; impossible,Three Colors: Blue
Drama,en,2007-01-01,3.5,Five; sex; gathering,Swingers Sex Party
"War, Action, Drama, History, Thriller",en,1965-06-23,7.0,Von; Frank; freight,Von Ryan's Express
"Comedy, Drama, Horror, Mystery, Thriller",en,1991-11-01,6.6,uncovers; familys; breaks,The People Under the Stairs
"Drama, Romance",en,1996-03-01,6.4,television; breaking; crisis,Up Close & Personal
"Animation, Fantasy, Action, Romance",ja,1999-08-14,7.2,childhood; immediately; holds,Revolutionary Girl Utena: The Adolescence of Utena
"Adventure, Animation, Comedy, Family, Fantasy",en,2017-01-12,6.3,sister; portal; ox,Bunyan and Babe
Thriller,en,2015-01-09,3.7,BDSM; wealthy; mogul,Bound
